region	site	date	cause	type	density
176	Manbij	Abu Qilqil	2004-06-24	Construction	Domestic	0.00273224043715847
177	Manbij	Abu Qilqil	2004-06-25	Construction	Domestic	0.00273224043715847
178	Manbij	Abu Qilqil	2004-06-26	Construction	Domestic	0.00273224043715847
179	Manbij	Abu Qilqil	2004-06-27	Construction	Domestic	0.00273224043715847
180	Manbij	Abu Qilqil	2004-06-28	Construction	Domestic	0.00273224043715847
181	Manbij	Abu Qilqil	2004-06-29	Construction	Domestic	0.00273224043715847
182	Manbij	Abu Qilqil	2004-06-30	Construction	Domestic	0.00273224043715847
183	Manbij	Abu Qilqil	2004-07-01	Construction	Domestic	0.00273224043715847
184	Manbij	Abu Qilqil	2004-07-02	Construction	Domestic	0.00273224043715847
185	Manbij	Abu Qilqil	2004-07-03	Construction	Domestic	0.00273224043715847
186	Manbij	Abu Qilqil	2004-07-04	Construction	Domestic	0.00273224043715847
187	Manbij	Abu Qilqil	2004-07-05	Construction	Domestic	0.00273224043715847
188	Manbij	Abu Qilqil	2004-07-06	Construction	Domestic	0.00273224043715847
189	Manbij	Abu Qilqil	2004-07-07	Construction	Domestic	0.00273224043715847
190	Manbij	Abu Qilqil	2004-07-08	Construction	Domestic	0.00273224043715847
191	Manbij	Abu Qilqil	2004-07-09	Construction	Domestic	0.00273224043715847
192	Manbij	Abu Qilqil	2004-07-10	Construction	Domestic	0.00273224043715847
193	Manbij	Abu Qilqil	2004-07-11	Construction	Domestic	0.00273224043715847
194	Manbij	Abu Qilqil	2004-07-12	Construction	Domestic	0.00273224043715847
195	Manbij	Abu Qilqil	2004-07-13	Construction	Domestic	0.00273224043715847
196	Manbij	Abu Qilqil	2004-07-14	Construction	Domestic	0.00273224043715847
197	Manbij	Abu Qilqil	2004-07-15	Construction	Domestic	0.00273224043715847
198	Manbij	Abu Qilqil	2004-07-16	Construction	Domestic	0.00273224043715847
199	Manbij	Abu Qilqil	2004-07-17	Construction	Domestic	0.00273224043715847
200	Manbij	Abu Qilqil	2004-07-18	Construction	Domestic	0.00273224043715847
201	Manbij	Abu Qilqil	2004-07-19	Construction	Domestic	0.00273224043715847
202	Manbij	Abu Qilqil	2004-07-20	Construction	Domestic	0.00273224043715847
203	Manbij	Abu Qilqil	2004-07-21	Construction	Domestic	0.00273224043715847
204	Manbij	Abu Qilqil	2004-07-22	Construction	Domestic	0.00273224043715847
205	Manbij	Abu Qilqil	2004-07-23	Construction	Domestic	0.00273224043715847
206	Manbij	Abu Qilqil	2004-07-24	Construction	Domestic	0.00273224043715847
207	Manbij	Abu Qilqil	2004-07-25	Construction	Domestic	0.00273224043715847
208	Manbij	Abu Qilqil	2004-07-26	Construction	Domestic	0.00273224043715847
209	Manbij	Abu Qilqil	2004-07-27	Construction	Domestic	0.00273224043715847
210	Manbij	Abu Qilqil	2004-07-28	Construction	Domestic	0.00273224043715847
211	Manbij	Abu Qilqil	2004-07-29	Construction	Domestic	0.00273224043715847
212	Manbij	Abu Qilqil	2004-07-30	Construction	Domestic	0.00273224043715847
213	Manbij	Abu Qilqil	2004-07-31	Construction	Domestic	0.00273224043715847
214	Manbij	Abu Qilqil	2004-08-01	Construction	Domestic	0.00273224043715847
215	Manbij	Abu Qilqil	2004-08-02	Construction	Domestic	0.00273224043715847
216	Manbij	Abu Qilqil	2004-08-03	Construction	Domestic	0.00273224043715847
217	Manbij	Abu Qilqil	2004-08-04	Construction	Domestic	0.00273224043715847
218	Manbij	Abu Qilqil	2004-08-05	Construction	Domestic	0.00273224043715847
219	Manbij	Abu Qilqil	2004-08-06	Construction	Domestic	0.00273224043715847
220	Manbij	Abu Qilqil	2004-08-07	Construction	Domestic	0.00273224043715847
221	Manbij	Abu Qilqil	2004-08-08	Construction	Domestic	0.00273224043715847
222	Manbij	Abu Qilqil	2004-08-09	Construction	Domestic	0.00273224043715847
223	Manbij	Abu Qilqil	2004-08-10	Construction	Domestic	0.00273224043715847
224	Manbij	Abu Qilqil	2004-08-11	Construction	Domestic	0.00273224043715847
225	Manbij	Abu Qilqil	2004-08-12	Construction	Domestic	0.00273224043715847
226	Manbij	Abu Qilqil	2004-08-13	Construction	Domestic	0.00273224043715847
227	Manbij	Abu Qilqil	2004-08-14	Construction	Domestic	0.00273224043715847
228	Manbij	Abu Qilqil	2004-08-15	Construction	Domestic	0.00273224043715847
229	Manbij	Abu Qilqil	2004-08-16	Construction	Domestic	0.00273224043715847
230	Manbij	Abu Qilqil	2004-08-17	Construction	Domestic	0.00273224043715847
231	Manbij	Abu Qilqil	2004-08-18	Construction	Domestic	0.00273224043715847
232	Manbij	Abu Qilqil	2004-08-19	Construction	Domestic	0.00273224043715847
233	Manbij	Abu Qilqil	2004-08-20	Construction	Domestic	0.00273224043715847
234	Manbij	Abu Qilqil	2004-08-21	Construction	Domestic	0.00273224043715847
235	Manbij	Abu Qilqil	2004-08-22	Construction	Domestic	0.00273224043715847
236	Manbij	Abu Qilqil	2004-08-23	Construction	Domestic	0.00273224043715847
237	Manbij	Abu Qilqil	2004-08-24	Construction	Domestic	0.00273224043715847
238	Manbij	Abu Qilqil	2004-08-25	Construction	Domestic	0.00273224043715847
239	Manbij	Abu Qilqil	2004-08-26	Construction	Domestic	0.00273224043715847
240	Manbij	Abu Qilqil	2004-08-27	Construction	Domestic	0.00273224043715847
241	Manbij	Abu Qilqil	2004-08-28	Construction	Domestic	0.00273224043715847
242	Manbij	Abu Qilqil	2004-08-29	Construction	Domestic	0.00273224043715847
243	Manbij	Abu Qilqil	2004-08-30	Construction	Domestic	0.00273224043715847
244	Manbij	Abu Qilqil	2004-08-31	Construction	Domestic	0.00273224043715847
245	Manbij	Abu Qilqil	2004-09-01	Construction	Domestic	0.00273224043715847
246	Manbij	Abu Qilqil	2004-09-02	Construction	Domestic	0.00273224043715847
247	Manbij	Abu Qilqil	2004-09-03	Construction	Domestic	0.00273224043715847
248	Manbij	Abu Qilqil	2004-09-04	Construction	Domestic	0.00273224043715847
249	Manbij	Abu Qilqil	2004-09-05	Construction	Domestic	0.00273224043715847
250	Manbij	Abu Qilqil	2004-09-06	Construction	Domestic	0.00273224043715847
251	Manbij	Abu Qilqil	2004-09-07	Construction	Domestic	0.00273224043715847
252	Manbij	Abu Qilqil	2004-09-08	Construction	Domestic	0.00273224043715847
253	Manbij	Abu Qilqil	2004-09-09	Construction	Domestic	0.00273224043715847
254	Manbij	Abu Qilqil	2004-09-10	Construction	Domestic	0.00273224043715847
255	Manbij	Abu Qilqil	2004-09-11	Construction	Domestic	0.00273224043715847
256	Manbij	Abu Qilqil	2004-09-12	Construction	Domestic	0.00273224043715847
257	Manbij	Abu Qilqil	2004-09-13	Construction	Domestic	0.00273224043715847
258	Manbij	Abu Qilqil	2004-09-14	Construction	Domestic	0.00273224043715847
259	Manbij	Abu Qilqil	2004-09-15	Construction	Domestic	0.00273224043715847
260	Manbij	Abu Qilqil	2004-09-16	Construction	Domestic	0.00273224043715847
261	Manbij	Abu Qilqil	2004-09-17	Construction	Domestic	0.00273224043715847
262	Manbij	Abu Qilqil	2004-09-18	Construction	Domestic	0.00273224043715847
263	Manbij	Abu Qilqil	2004-09-19	Construction	Domestic	0.00273224043715847
264	Manbij	Abu Qilqil	2004-09-20	Construction	Domestic	0.00273224043715847
265	Manbij	Abu Qilqil	2004-09-21	Construction	Domestic	0.00273224043715847
266	Manbij	Abu Qilqil	2004-09-22	Construction	Domestic	0.00273224043715847
267	Manbij	Abu Qilqil	2004-09-23	Construction	Domestic	0.00273224043715847
268	Manbij	Abu Qilqil	2004-09-24	Construction	Domestic	0.00273224043715847
269	Manbij	Abu Qilqil	2004-09-25	Construction	Domestic	0.00273224043715847
270	Manbij	Abu Qilqil	2004-09-26	Construction	Domestic	0.00273224043715847
271	Manbij	Abu Qilqil	2004-09-27	Construction	Domestic	0.00273224043715847
272	Manbij	Abu Qilqil	2004-09-28	Construction	Domestic	0.00273224043715847
273	Manbij	Abu Qilqil	2004-09-29	Construction	Domestic	0.00273224043715847
274	Manbij	Abu Qilqil	2004-09-30	Construction	Domestic	0.00273224043715847
275	Manbij	Abu Qilqil	2004-10-01	Construction	Domestic	0.00273224043715847
276	Manbij	Abu Qilqil	2004-10-02	Construction	Domestic	0.00273224043715847
277	Manbij	Abu Qilqil	2004-10-03	Construction	Domestic	0.00273224043715847
278	Manbij	Abu Qilqil	2004-10-04	Construction	Domestic	0.00273224043715847
279	Manbij	Abu Qilqil	2004-10-05	Construction	Domestic	0.00273224043715847
280	Manbij	Abu Qilqil	2004-10-06	Construction	Domestic	0.00273224043715847
281	Manbij	Abu Qilqil	2004-10-07	Construction	Domestic	0.00273224043715847
282	Manbij	Abu Qilqil	2004-10-08	Construction	Domestic	0.00273224043715847
283	Manbij	Abu Qilqil	2004-10-09	Construction	Domestic	0.00273224043715847
284	Manbij	Abu Qilqil	2004-10-10	Construction	Domestic	0.00273224043715847
285	Manbij	Abu Qilqil	2004-10-11	Construction	Domestic	0.00273224043715847
286	Manbij	Abu Qilqil	2004-10-12	Construction	Domestic	0.00273224043715847
287	Manbij	Abu Qilqil	2004-10-13	Construction	Domestic	0.00273224043715847
288	Manbij	Abu Qilqil	2004-10-14	Construction	Domestic	0.00273224043715847
289	Manbij	Abu Qilqil	2004-10-15	Construction	Domestic	0.00273224043715847
290	Manbij	Abu Qilqil	2004-10-16	Construction	Domestic	0.00273224043715847
291	Manbij	Abu Qilqil	2004-10-17	Construction	Domestic	0.00273224043715847
292	Manbij	Abu Qilqil	2004-10-18	Construction	Domestic	0.00273224043715847
293	Manbij	Abu Qilqil	2004-10-19	Construction	Domestic	0.00273224043715847
294	Manbij	Abu Qilqil	2004-10-20	Construction	Domestic	0.00273224043715847
